Point,x (ft),y (ft)
Car Hood,7.583333333,15
Car Hood,7.833333333,13.08333333
Car Hood,8.916666667,12
Car Hood,11,11.5
Car Hood,12.83333333,11.83333333
Car Hood,13.91666667,12.75
Car Hood,14.16666667,14.25
Car Side,14.25,20
Car Side,14.08333333,17
Car Side,8,19.66666667
Car Side,7.833333333,17
Corner,27.33333333,6.333333333
Corner,22.41666667,9.416666667
Corner,22.5,7.416666667
Eye,9.25,19.08333333
Front,2.916666667,2.25
Front,4.416666667,3
Front,5.5,2.916666667
Front,6.5,1.25
Front,7.916666667,0.5
Front,9.25,0
Front,10.75,1.25
Front,14,0.416666667
Front,15.75,0.583333333
Front,17.83333333,0.583333333
Front,18.91666667,1.833333333
Front,22.91666667,3
Mirror,29.75,6.5
Mirror,32.16666667,7.833333333
Mirror,31.83333333,6.833333333
Side,25.33333333,18.83333333
Side,24.83333333,17.41666667
Side,23.91666667,15.58333333
Side,23.5,14.08333333
Side,23.33333333,12.08333333
