phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
-3,-0.052359878,205,17.08333333,204.7190546,-10.72887103,17.05992122,-0.894072586
-2,-0.034906585,206,17.16666667,205.8745104,-7.189296321,17.1562092,-0.599108027
-1,-0.017453293,206,17.16666667,205.9686252,-3.595195726,17.1640521,-0.299599644
0,0,206,17.16666667,206,0,17.16666667,0
1,0.017453293,207,17.25,206.9684729,3.612648133,17.24737274,0.301054011
2,0.034906585,207,17.25,206.8739012,7.224195817,17.23949177,0.602016318
3,0.052359878,208,17.33333333,207.7149432,10.8858789,17.3095786,0.907156575
4,0.06981317,209,17.41666667,208.4908865,14.57910301,17.37424054,1.214925251
5,0.087266463,209,17.41666667,208.2046919,18.21555023,17.35039099,1.517962519
6,0.104719755,209,17.41666667,207.8550761,21.84644882,17.32125634,1.820537402
7,0.122173048,209,17.41666667,207.4421457,25.47069277,17.28684548,2.122557731
8,0.13962634,209,17.41666667,206.9660264,29.0871781,17.24716887,2.423931508
9,0.157079633,211,17.58333333,208.4022399,33.00767212,17.36685333,2.750639343
10,0.174532925,213,17.75,209.7640514,36.98706184,17.48033762,3.082255153
11,0.191986218,215,17.91666667,211.0498444,41.02393401,17.58748703,3.418661168
12,0.20943951,214,17.83333333,209.3235866,44.49310184,17.44363222,3.707758487
13,0.226892803,214,17.83333333,208.5151939,48.13952563,17.37626616,4.011627136
14,0.244346095,214,17.83333333,207.6432854,51.77128566,17.30360712,4.314273805
15,0.261799388,214,17.83333333,206.7081268,55.38727565,17.22567723,4.615606304
16,0.27925268,214,17.83333333,205.7100029,58.98639414,17.14250024,4.915532845
17,0.296705973,215,17.91666667,205.6055225,62.85991652,17.13379354,5.238326377
18,0.314159265,215,17.91666667,204.477151,66.43865379,17.03976258,5.536554483
19,0.331612558,216,18,204.2320123,70.32272136,17.01933436,5.86022678
20,0.34906585,279,23.25,262.1742412,95.42361999,21.84785343,7.951968333
21,0.366519143,338,28.16666667,315.5501842,121.1283669,26.29584868,10.09403058
22,0.383972435,427,35.58333333,395.9075059,159.9570154,32.99229216,13.32975128
23,0.401425728,431,35.91666667,396.7375918,168.4051164,33.06146598,14.0337597
24,0.41887902,432,36,394.6516377,175.7102298,32.88763648,14.64251915
25,0.436332313,438,36.5,396.9628107,185.1067986,33.08023423,15.42556655
26,0.453785606,438,36.5,393.6717923,192.0065623,32.80598269,16.00054686
27,0.471238898,433,36.08333333,385.805825,196.5778864,32.15048542,16.38149053
28,0.488692191,425,35.41666667,375.252727,199.5254142,31.27106058,16.62711785
29,0.506145483,438,36.5,383.0834317,212.3466137,31.92361931,17.69555114
30,0.523598776,438,36.5,379.3191269,219,31.60992724,18.25
31,0.541052068,438,36.5,375.4392777,225.5866768,31.28660648,18.79888973
32,0.558505361,438,36.5,371.4450661,232.1046377,30.95375551,19.34205314
33,0.575958653,438,36.5,367.3377088,238.5518973,30.61147573,19.87932478
34,0.593411946,438,36.5,363.1184568,244.9264917,30.2598714,20.41054098
35,0.610865238,438,36.5,358.7885954,251.2264791,29.89904962,20.93553993
36,0.628318531,438,36.5,354.3494435,257.4499405,29.52912029,21.45416171
37,0.645771823,438,36.5,349.8023534,263.5949801,29.15019612,21.96624834
38,0.663225116,438,36.5,345.1487101,269.6597262,28.76239251,22.47164385
39,0.680678408,438,36.5,340.3899311,275.6423313,28.36582759,22.97019428
40,0.698131701,438,36.5,335.5274661,281.540973,27.96062218,23.46174775
41,0.715584993,438,36.5,330.5627961,287.3538547,27.54689968,23.94615456
42,0.733038286,438,36.5,325.4974336,293.0792056,27.12478613,24.42326713
43,0.750491578,348,29,254.5110882,237.3354293,21.20925735,19.77795244
44,0.767944871,348,29,250.3302505,241.7411129,20.86085421,20.14509274
45,0.785398163,349,29.08333333,246.7802666,246.7802666,20.56502222,20.56502222
46,0.802851456,355,29.58333333,246.6037215,255.3656291,20.55031013,21.28046909
47,0.820304748,355,29.58333333,242.1094178,259.6305641,20.17578482,21.63588034
48,0.837758041,348,29,232.857451,258.6143993,19.40478758,21.55119994
49,0.855211333,348,29,228.3085421,262.6389339,19.02571184,21.88657783
50,0.872664626,349,29.08333333,224.3328758,267.3495106,18.69440632,22.27912588
51,0.890117919,368,30.66666667,231.5899039,285.9897138,19.29915866,23.83247615
52,0.907571211,385,32.08333333,237.029668,303.3841401,19.75247233,25.28201168
53,0.925024504,384,32,231.0969689,306.6760359,19.25808074,25.55633633
54,0.942477796,351,29.25,206.3126236,283.964965,17.19271863,23.66374708
55,0.959931089,328,27.33333333,188.1330711,268.6818705,15.67775593,22.39015588
56,0.977384381,325,27.08333333,181.7376936,269.4372111,15.1448078,22.45310093
57,0.994837674,324,27,176.4630473,271.729264,14.70525394,22.64410533
58,1.012290966,324,27,171.6938416,274.7675832,14.30782013,22.8972986
59,1.029744259,328,27.33333333,168.9324886,281.1508746,14.07770738,23.42923955
60,1.047197551,328,27.33333333,164,284.0563324,13.66666667,23.67136103
61,1.064650844,328,27.33333333,159.0175554,286.8752639,13.25146295,23.90627199
62,1.082104136,361,30.08333333,169.4792342,318.744081,14.12326952,26.56200675
63,1.099557429,357,29.75,162.0746084,318.0893291,13.50621737,26.50744409
64,1.117010721,357,29.75,156.4984994,320.8694745,13.04154162,26.73912288
65,1.134464014,357,29.75,150.8747194,323.55188,12.57289328,26.96265667
66,1.151917306,357,29.75,145.2049816,326.1357284,12.10041513,27.17797737
67,1.169370599,353,29.41666667,137.9280884,324.9382133,11.49400737,27.07818444
68,1.186823891,352,29.33333333,131.8615209,326.3687168,10.98846008,27.19739307
69,1.204277184,352,29.33333333,126.1455182,328.6203101,10.51212652,27.38502584
70,1.221730476,347,28.91666667,118.6809897,326.0733394,9.890082475,27.17277828
71,1.239183769,337,28.08333333,109.7164681,318.63976,9.143039008,26.55331333
72,1.256637061,335,27.91666667,103.5206931,318.603933,8.626724425,26.55032775
73,1.274090354,331,27.58333333,96.77503426,316.5368742,8.064586188,26.37807285
74,1.291543646,328,27.33333333,90.40905271,315.2938363,7.534087726,26.27448636
75,1.308996939,329,27.41666667,85.15146584,317.7895968,7.095955487,26.4824664
76,1.326450232,340,28.33333333,82.2534445,329.9005469,6.854453708,27.49171224
77,1.343903524,355,29.58333333,79.85762429,345.901373,6.654802024,28.82511442
78,1.361356817,357,29.75,74.22447362,349.1986935,6.185372802,29.09989113
79,1.378810109,317,26.41666667,60.48645153,311.1758172,5.040537628,25.9313181
80,1.396263402,317,26.41666667,55.04647232,312.1840577,4.587206027,26.01533814
81,1.413716694,317,26.41666667,49.58972542,313.097204,4.132477118,26.09143367
82,1.431169987,317,26.41666667,44.117873,313.9149778,3.676489417,26.15958148
83,1.448623279,361,30.08333333,43.99483297,358.3091607,3.666236081,29.85909673
84,1.466076572,358,29.83333333,37.42118985,356.0388385,3.118432488,29.66990321
85,1.483529864,310,25.83333333,27.01828025,308.8203564,2.251523354,25.7350297
86,1.500983157,310,25.83333333,21.62450686,309.2448556,1.802042238,25.77040463
87,1.518436449,310,25.83333333,16.22414644,309.5751558,1.352012203,25.79792965
88,1.535889742,310,25.83333333,10.81884398,309.8111564,0.901570332,25.81759637
89,1.553343034,438,36.5,7.64415402,437.9332905,0.637012835,36.49444088
90,1.570796327,352,29.33333333,2.15626E-14,352,1.79688E-15,29.33333333
91,1.588249619,352,29.33333333,-6.143247066,351.9463887,-0.511937256,29.32886573
92,1.605702912,348,29,-12.14502485,347.7880078,-1.012085404,28.98233398
93,1.623156204,344,28.66666667,-18.00356895,343.52856,-1.500297413,28.62738
94,1.640609497,343,28.58333333,-23.92647049,342.1644692,-1.993872541,28.51370577
95,1.658062789,338,28.16666667,-29.45864105,336.713808,-2.454886754,28.059484
96,1.675516082,333,27.75,-34.80797827,331.1757912,-2.900664856,27.5979826
97,1.692969374,332,27.66666667,-40.46062201,329.5253223,-3.371718501,27.46044353
98,1.710422667,331,27.58333333,-46.06629642,327.7787308,-3.838858035,27.31489423
99,1.727875959,327,27.25,-51.15407007,322.9740874,-4.262839173,26.91450728
100,1.745329252,324,27,-56.26200956,319.077712,-4.688500797,26.58980933
101,1.762782545,320,26.66666667,-61.05887852,314.1206987,-5.088239877,26.17672489
102,1.780235837,310,25.83333333,-64.45262415,303.2257562,-5.371052013,25.26881302
103,1.79768913,303,25.25,-68.16016947,295.2341296,-5.680014123,24.60284413
104,1.815142422,301,25.08333333,-72.81849058,292.0590136,-6.068207548,24.33825113
105,1.832595715,301,25.08333333,-77.90453258,290.7436737,-6.492044382,24.22863948
106,1.850049007,302,25.16666667,-83.24248146,290.3010322,-6.936873455,24.19175268
107,1.8675023,306,25.5,-89.46574165,292.6292553,-7.455478471,24.38577128
108,1.884955592,438,36.5,-135.3494435,416.5627541,-11.27912029,34.71356284
109,1.902408885,438,36.5,-142.5988517,414.1371361,-11.88323764,34.51142801
110,1.919862177,438,36.5,-149.8048228,411.5853679,-12.48373523,34.29878066
111,1.93731547,438,36.5,-156.9651619,408.9082268,-13.08043016,34.07568557
112,1.954768762,438,36.5,-164.0776879,406.1065283,-13.67314066,33.84221069
113,1.972222055,438,36.5,-171.1402343,403.1811258,-14.26168619,33.59842715
114,1.989675347,438,36.5,-178.1506497,400.1329104,-14.84588748,33.3444092
115,2.00712864,438,36.5,-185.1067986,396.9628107,-15.42556655,33.08023423
116,2.024581932,438,36.5,-192.0065623,393.6717923,-16.00054686,32.80598269
117,2.042035225,438,36.5,-198.8478389,390.2608576,-16.57065324,32.52173813
118,2.059488517,438,36.5,-205.6285445,386.7310457,-17.13571204,32.22758714
119,2.07694181,438,36.5,-212.3466137,383.0834317,-17.69555114,31.92361931
120,2.094395102,438,36.5,-219,379.3191269,-18.25,31.60992724
121,2.111848395,438,36.5,-225.5866768,375.4392777,-18.79888973,31.28660648
122,2.129301687,438,36.5,-232.1046377,371.4450661,-19.34205314,30.95375551
123,2.14675498,438,36.5,-238.5518973,367.3377088,-19.87932478,30.61147573
124,2.164208272,438,36.5,-244.9264917,363.1184568,-20.41054098,30.2598714
125,2.181661565,438,36.5,-251.2264791,358.7885954,-20.93553993,29.89904962
126,2.199114858,438,36.5,-257.4499405,354.3494435,-21.45416171,29.52912029
127,2.21656815,438,36.5,-263.5949801,349.8023534,-21.96624834,29.15019612
128,2.234021443,438,36.5,-269.6597262,345.1487101,-22.47164385,28.76239251
129,2.251474735,438,36.5,-275.6423313,340.3899311,-22.97019428,28.36582759
130,2.268928028,438,36.5,-281.540973,335.5274661,-23.46174775,27.96062218
131,2.28638132,438,36.5,-287.3538547,330.5627961,-23.94615456,27.54689968
132,2.303834613,438,36.5,-293.0792056,325.4974336,-24.42326713,27.12478613
133,2.321287905,438,36.5,-298.7152817,320.3329213,-24.89294014,26.69441011
134,2.338741198,438,36.5,-304.2603663,315.0708325,-25.35503053,26.25590271
135,2.35619449,438,36.5,-309.7127702,309.7127702,-25.80939752,25.80939752
136,2.373647783,438,36.5,-315.0708325,304.2603663,-26.25590271,25.35503053
137,2.391101075,438,36.5,-320.3329213,298.7152817,-26.69441011,24.89294014
138,2.408554368,438,36.5,-325.4974336,293.0792056,-27.12478613,24.42326713
139,2.42600766,438,36.5,-330.5627961,287.3538547,-27.54689968,23.94615456
140,2.443460953,438,36.5,-335.5274661,281.540973,-27.96062218,23.46174775
141,2.460914245,438,36.5,-340.3899311,275.6423313,-28.36582759,22.97019428
142,2.478367538,438,36.5,-345.1487101,269.6597262,-28.76239251,22.47164385
143,2.49582083,438,36.5,-349.8023534,263.5949801,-29.15019612,21.96624834
144,2.513274123,438,36.5,-354.3494435,257.4499405,-29.52912029,21.45416171
145,2.530727415,438,36.5,-358.7885954,251.2264791,-29.89904962,20.93553993
146,2.548180708,438,36.5,-363.1184568,244.9264917,-30.2598714,20.41054098
147,2.565634,438,36.5,-367.3377088,238.5518973,-30.61147573,19.87932478
148,2.583087293,438,36.5,-371.4450661,232.1046377,-30.95375551,19.34205314
149,2.600540585,438,36.5,-375.4392777,225.5866768,-31.28660648,18.79888973
150,2.617993878,438,36.5,-379.3191269,219,-31.60992724,18.25
151,2.635447171,438,36.5,-383.0834317,212.3466137,-31.92361931,17.69555114
152,2.652900463,438,36.5,-386.7310457,205.6285445,-32.22758714,17.13571204
153,2.670353756,438,36.5,-390.2608576,198.8478389,-32.52173813,16.57065324
154,2.687807048,438,36.5,-393.6717923,192.0065623,-32.80598269,16.00054686
155,2.705260341,438,36.5,-396.9628107,185.1067986,-33.08023423,15.42556655
156,2.722713633,438,36.5,-400.1329104,178.1506497,-33.3444092,14.84588748
157,2.740166926,438,36.5,-403.1811258,171.1402343,-33.59842715,14.26168619
158,2.757620218,438,36.5,-406.1065283,164.0776879,-33.84221069,13.67314066
159,2.775073511,438,36.5,-408.9082268,156.9651619,-34.07568557,13.08043016
160,2.792526803,438,36.5,-411.5853679,149.8048228,-34.29878066,12.48373523
161,2.809980096,438,36.5,-414.1371361,142.5988517,-34.51142801,11.88323764
162,2.827433388,438,36.5,-416.5627541,135.3494435,-34.71356284,11.27912029
163,2.844886681,438,36.5,-418.8614831,128.0588067,-34.90512359,10.67156723
164,2.862339973,438,36.5,-421.0326228,120.7291618,-35.0860519,10.06076348
165,2.879793266,438,36.5,-423.0755119,113.3627418,-35.25629266,9.44689515
166,2.897246558,438,36.5,-424.9895281,105.9617903,-35.41579401,8.830149192
167,2.914699851,438,36.5,-426.7740884,98.5285618,-35.56450737,8.210713483
168,2.932153143,438,36.5,-428.4286491,91.06532058,-35.70238743,7.588776715
169,2.949606436,438,36.5,-429.9527064,83.57433997,-35.8293922,6.964528331
170,2.967059728,438,36.5,-431.3457958,76.05790182,-35.94548298,6.338158485
171,2.984513021,438,36.5,-432.6074932,68.51829569,-36.05062443,5.709857974
172,3.001966313,438,36.5,-433.7374141,60.95781822,-36.14478451,5.079818185
173,3.019419606,438,36.5,-434.7352144,53.37877241,-36.22793453,4.448231034
174,3.036872898,438,36.5,-435.6005902,45.78346691,-36.30004918,3.815288909
175,3.054326191,438,36.5,-436.3332778,38.17421532,-36.36110648,3.18118461
